"hit","align.length","mismatch","indel","unalign.length","total.miss"
"55_59",65,0,0,0,0
"39_35",65,0,0,0,0
"71_79",65,0,0,0,0
"66_43",65,2,0,0,2
"59_24",65,0,0,0,0
"61_88",65,2,0,0,2
"1_37",65,0,0,0,0
"41_27",65,0,0,0,0
"17_4",65,1,0,0,1
"15_49",65,0,0,0,0
"24_85",65,0,0,0,0
"80_76",65,0,0,0,0
"56_26",65,2,0,0,2
"11_88",65,0,0,0,0
"18_10",65,0,0,0,0
"27_17",65,1,0,0,1
"56_81",65,2,0,0,2
"72_59",65,0,0,0,0
"71_53",65,0,0,0,0
"82_80",65,0,0,0,0
"46_52",65,0,0,0,0
"14_17",65,0,0,0,0
"36_26",65,1,0,0,1
"36_15",65,0,0,0,0
"41_53",65,0,0,0,0
"32_31",65,1,0,0,1
"48_32",65,1,0,0,1
"9_11",65,1,0,0,1
"17_3",65,0,0,0,0
"37_35",65,1,0,0,1
"51_17",65,1,1,0,2
"4_14",65,0,0,0,0
"81_16",65,0,0,0,0
"46_73",65,1,0,0,1
"80_68",65,2,0,0,2
"6_86",65,0,0,0,0
"30_18",65,0,0,0,0
"20_50",65,0,0,0,0
"17_75",65,1,0,0,1
"10_10",65,0,0,0,0
"59_6",65,0,0,0,0
"82_85",65,1,0,0,1
"80_47",65,0,0,0,0
"14_51",65,0,0,0,0
"4_23",65,0,0,0,0
"65_29",65,1,1,0,2
"56_77",65,0,0,0,0
"54_65",65,0,0,0,0
"33_56",65,0,0,0,0
"1_6",65,0,0,0,0
"64_76",65,0,0,0,0
"73_59",65,0,0,0,0
"7_14",65,2,0,0,2
"44_59",65,0,1,0,1
"91_65",65,2,0,0,2
"77_39",65,0,0,0,0
"77_6",65,0,0,0,0
"91_87",65,0,0,0,0
"70_73",65,0,0,0,0
"24_78",65,0,0,0,0
"72_32",65,0,0,0,0
"77_6",65,2,0,0,2
"70_36",65,0,0,0,0
"64_50",65,0,0,0,0
"79_58",65,0,0,0,0
"31_79",65,0,0,0,0
"32_30",65,0,0,0,0
"65_68",65,0,0,0,0
"44_53",65,0,0,0,0
"21_41",65,0,0,0,0
"83_89",65,0,0,0,0
"77_52",65,1,0,0,1
"61_52",65,1,0,0,1
"11_86",65,0,0,0,0
"15_72",65,0,0,0,0
"57_49",65,0,0,0,0
"37_7",65,0,0,0,0
"11_65",65,1,0,0,1
"77_14",65,0,1,0,1
"50_91",65,2,0,0,2
"23_39",65,0,0,0,0
"10_87",65,1,0,0,1
"67_12",65,0,0,0,0
"36_52",65,0,0,0,0
"44_84",65,0,0,0,0
"56_53",65,0,0,0,0
"14_86",65,0,0,0,0
"46_56",65,0,0,0,0
"76_20",65,1,0,0,1
"89_78",65,0,0,0,0
"90_78",65,0,0,0,0
"62_74",65,1,1,0,2
"24_52",65,0,0,0,0
"90_59",65,0,0,0,0
"90_60",65,0,0,0,0
"29_40",65,0,0,0,0
"74_69",65,0,1,0,1
"90_75",65,0,0,0,0
"64_54",65,0,0,0,0
"62_81",65,0,0,0,0
"27_79",65,0,0,0,0
"8_12",65,0,0,0,0
"4_43",65,0,0,0,0
"41_45",65,1,0,0,1
"34_82",65,1,0,0,1
"40_29",65,0,0,0,0
"31_57",65,0,0,0,0
"82_50",65,1,0,0,1
"79_79",65,0,0,0,0
"88_88",65,0,0,0,0
"15_46",65,0,0,0,0
"12_90",65,2,0,0,2
"47_61",65,0,0,0,0
"61_60",65,0,0,0,0
"80_71",65,0,0,0,0
"44_43",65,1,0,0,1
"24_23",65,1,0,0,1
"56_72",65,1,0,0,1
"60_6",65,0,1,0,1
"25_78",65,0,0,0,0
"23_7",65,1,0,0,1
"73_70",65,1,0,0,1
"21_76",65,0,0,0,0
"17_14",65,0,0,0,0
"82_10",65,0,0,0,0
"78_3",65,0,0,0,0
"67_63",65,0,0,0,0
"71_55",65,0,0,0,0
"20_44",66,1,1,0,2
"15_3",65,0,0,0,0
"68_55",65,0,1,0,1
"21_50",65,0,0,0,0
"34_29",65,0,0,0,0
"22_1",64,1,0,1,2
"18_21",65,0,0,0,0
"75_36",65,0,0,0,0
"88_37",65,0,0,0,0
"69_5",65,0,0,0,0
"69_64",65,2,0,0,2
"8_44",65,0,0,0,0
"42_50",65,0,0,0,0
"91_55",65,0,0,0,0
"77_89",65,0,0,0,0
"65_87",65,0,0,0,0
"70_12",65,0,0,0,0
"45_55",65,0,0,0,0
"32_50",65,0,0,0,0
"61_45",65,0,0,0,0
"83_85",65,0,0,0,0
"17_3",65,1,0,0,1
"20_50",65,0,0,0,0
"28_49",65,1,0,0,1
"33_91",65,1,0,0,1
"31_55",65,0,0,0,0
"44_78",65,0,0,0,0
"24_16",65,0,0,0,0
"52_1",65,0,0,0,0
"6_59",65,0,0,0,0
"21_34",65,0,0,0,0
"84_87",65,0,0,0,0
"84_16",65,0,0,0,0
"29_30",65,1,0,0,1
"5_42",65,0,0,0,0
"19_66",65,0,0,0,0
"90_85",65,2,0,0,2
"21_63",65,0,1,0,1
"76_39",65,0,0,0,0
"40_29",65,0,0,0,0
"71_18",65,2,0,0,2
